Hex_ASCII,Frequency
20,8.0
21,0.0306942
22,0.000183067
23,0.00854313
24,0.00970255
25,0.00170863
26,0.00134249
27,0.000122045
28,0.000427156
29,0.00115942
2A,0.0241648
2B,0.00231885
2C,0.00323418
2D,0.0197712
2E,0.0316706
2F,0.00311214
30,2.74381
31,4.35053
32,3.12312
33,2.43339
34,1.94265
35,1.88577
36,1.75647
37,1.621
38,1.66225
39,1.79558
3A,0.00189169
3B,0.00207476
3C,0.000427156
3D,0.00140351
3E,0.000183067
3F,0.00207476
40,0.0238597
41,0.130466
42,0.0806715
43,0.0660872
44,0.0698096
45,0.0970865
46,0.0417393
47,0.0497332
48,0.0544319
49,0.070908
4A,0.0363083
4B,0.0460719
4C,0.0775594
4D,0.0782306
4E,0.0748134
4F,0.0729217
50,0.073715
51,0.0147064
52,0.08476
53,0.108132
54,0.0801223
55,0.0350268
56,0.0235546
57,0.0320367
58,0.0142182
59,0.0255073
5A,0.0170252
5B,0.0010984
5C,0.00115942
5D,0.0010984
5E,0.00195272
5F,0.0122655
27,0.00115942
61,7.52766
62,2.29145
63,2.57276
64,2.76401
65,7.0925
66,1.2476
67,1.85331
68,2.41319
69,4.69732
6A,0.836677
6B,1.96828
6C,3.77728
6D,2.99913
6E,4.56899
6F,5.17
70,2.45578
71,0.346119
72,4.96032
73,4.61079
74,3.87388
75,2.10191
76,0.833626
77,1.24492
78,0.573305
79,1.52483
7A,0.632558
7B,0.000122045
7C,0.000122045
7D,0.000122045
7E,0.00152556
